,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
40,kuvvetli sat,"[0, 0, 0.8556701030927846]","[0, 0.46353340066547616, 0.5364665993345238]","[0, 0.1420098846787465, 1]","[0, 0.6611147693992591, 0.1694426153003705]","[0, 0.6611147693992591, 0.1694426153003705]",76.82332996672619,0.09347907364385223,0.09347907364385223,92.78350515463923,22.94604131646951,28.938958683530483,1.42688508739547,25.942499999999995,61.44975288303134,27.42492370413392,27.518402777777766,25.804761904761897,27.448,2005-05-17,27.55
41,sat,"[0, 0, 0.6247422680412368]","[0, 0.703645753710575, 0.296354246289425]","[0, 0, 1]","[0, 0.8209958342423477, 0.08950208287882616]","[0, 0.8209958342423477, 0.08950208287882616]",64.81771231447125,0.0493770223144665,0.0493770223144665,81.23711340206184,23.389918145076138,28.944081854923862,1.3224199309161258,26.166999999999998,70.5701078582435,27.49236680484602,27.541743827160488,26.02333333333333,27.534,2005-05-18,26.99
42,sat,"[0, 0.10515463917525836, 0.4474226804123708]","[0, 0.9225895032589152, 0.07741049674108481]","[0, 0, 1]","[0.39422525176953715, 0.2115494964609257, 0]","[0.39422525176953715, 0.2115494964609257, 0]",53.87052483705424,-0.14249611789504613,-0.14249611789504613,72.37113402061854,23.839002706604624,28.88999729339537,1.202617758759703,26.3645,71.8995290423862,27.221482743409442,27.078986625514396,26.232857142857146,27.464000000000002,2005-05-19,26.56
43,al,"[0, 0.40206185567010266, 0.29896907216494867]","[0.1366091026205295, 0.8633908973794705, 0]","[0, 0.4111753371868986, 0.4720616570327536]","[0.6121393911190484, 0, 0]","[0.6121393911190484, 0, 0]",43.169544868973524,-0.2212630633212065,-0.2212630633212065,64.94845360824743,24.20915072672721,28.82084927327278,1.098023463463231,26.515,54.720616570327536,26.864800871963173,26.643537808641966,26.39428571428571,27.318,2005-05-20,26.2
44,al,"[0, 0, 0.5670103092783512]","[0, 0.8857099861896403, 0.11429001381035973]","[0, 0.9459915611814352, 0]","[0.6509122809723914, 0, 0]","[0.6509122809723914, 0, 0]",55.71450069051799,-0.2352778588191456,-0.2352778588191456,78.35051546391756,24.62220021533853,28.62079978466145,0.952047516505458,26.6215,41.35021097046412,26.50632981355166,26.271051954732513,26.517142857142854,27.105999999999998,2005-05-23,26.85
45,al,"[0, 0, 0.5752577319587638]","[0, 0.9190408967539202, 0.08095910324607986]","[0, 0.9275590551181102, 0]","[0, 0.7864567421410746, 0.1067716289294627]","[0, 0.7864567421410746, 0.1067716289294627]",54.04795516230399,0.058904384508455365,0.058904384508455365,78.76288659793819,24.86053672143513,28.578463278564865,0.8852206088404118,26.7195,38.188976377952756,26.691642168989485,26.75054655349794,26.60142857142857,26.988000000000003,2005-05-24,26.87
46,al,"[0, 0, 0.5010309278350524]","[0.06404816247499014, 0.9359518375250099, 0]","[0, 0.5961315280464214, 0.009671179883946479]","[0, 0.7849387114489482, 0.10753064427552586]","[0, 0.7849387114489482, 0.10753064427552586]",46.79759187625049,0.059323122446993885,0.059323122446993885,75.05154639175262,25.07523582800839,28.52576417199161,0.8215543676150522,26.8005,50.096711798839465,26.78781550924025,26.847138631687244,26.72571428571429,26.83,2005-05-25,26.69
47,al,"[0, 0, 0.6659793814432993]","[0, 0.8512511655314128, 0.14874883446858717]","[0, 0.6038834951456303, 0]","[0.08875756696519242, 0.8224848660696151, 0]","[0.08875756696519242, 0.8224848660696151, 0]",57.43744172342936,-0.02177452719410411,-0.02177452719410411,83.29896907216497,25.421887781630893,28.326112218369108,0.6914820087471923,26.874,49.90291262135924,26.735071852296986,26.71329732510288,26.803809523809523,26.69400000000001,2005-05-26,27.09
48,al,"[0, 0, 0.5628865979381442]","[0.12469195282408521, 0.8753080471759148, 0]","[0, 0.6603773584905659, 0]","[0, 0.645032768330138, 0.177483615834931]","[0, 0.645032768330138, 0.177483615834931]",43.76540235879574,0.09791517892827528,0.09791517892827528,78.14432989690721,25.997628353055795,27.922371646944214,0.4582722128305747,26.96,48.49056603773585,26.9264546770388,27.024369855967077,26.86523809523809,26.634000000000004,2005-05-27,26.84
49,al,"[0, 0, 0.5917525773195882]","[0.17947280891401918, 0.8205271910859808, 0]","[0, 0.6449438202247191, 0]","[0.04857390055656531, 0.9028521988868694, 0]","[0.04857390055656531, 0.9028521988868694, 0]",41.02635955429904,-0.0119164343363245,-0.0119164343363245,79.58762886597941,26.148782865535544,28.00421713446445,0.4417700640306947,27.07650000000001,48.87640449438202,26.87983695902768,26.867920524691357,26.96619047619048,26.74,2005-05-31,26.91
50,al,"[0, 0, 0.6494845360824751]","[0.04726978595990815, 0.9527302140400918, 0]","[0, 0.9673469387755111, 0]","[0, 0.9854701088511018, 0.007264945574449133]","[0, 0.9854701088511018, 0.007264945574449133]",47.63651070200459,0.0040079668338961465,0.0040079668338961465,82.47422680412376,26.173250434307146,28.01374956569286,0.4382140789013611,27.0935,39.18367346938778,26.89610134386569,26.90010931069959,27.065238095238104,26.868,2005-06-01,27.05
51,al,"[0, 0, 0.8268041237113412]","[0, 0.5473009052893062, 0.4526990947106938]","[0, 0.9382045929018781, 0]","[0, 0.8439230320431752, 0.07803848397841238]","[0, 0.8439230320431752, 0.07803848397841238]",72.63495473553469,0.043052718337360574,0.043052718337360574,91.34020618556706,26.164321140045534,27.975678859954467,0.43127564759736464,27.07,41.54488517745305,26.97908591334988,27.02213863168724,27.084761904761905,26.88000000000001,2005-06-02,27.48
52,kuvvetli al,"[0, 0, 0]","[0, 0, 0.9478332187888621]","[0, 0.8360248447204967, 0]","[0, 0.4502564792496816, 0.2748717603751592]","[0, 0.4502564792496816, 0.2748717603751592]",102.00615261247853,0.15164282896115466,0.15164282896115466,100.0,26.13193584374065,27.973064156259326,0.4383638839330199,27.05249999999999,44.09937888198758,27.24918664634749,27.400829475308644,27.06904761904761,26.916000000000004,2005-06-03,28.01
53,kuvvetli al,"[0, 0, 0]","[0, 0, 0.762429032167669]","[0, 0.2884875846501126, 0.7787810383747186]","[0, 0.1076830181744138, 0.4461584909127931]","[0, 0.1076830181744138, 0.4461584909127931]",109.13615152594706,0.24613927467381205,0.24613927467381205,100.0,26.07369698936153,28.09530301063847,0.4813347669706988,27.0845,57.787810383747185,27.65942914096405,27.90556841563786,27.072857142857128,27.074,2005-06-06,28.28
