,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
2219,sat,"[0, 0, 0.6249999999999974]","[0, 0.5392378973884899, 0.46076210261151007]","[0, 0.578494623655914, 0.053763440860215186]","[0, 0.09124657667616108, 0.45437671166191945]","[0, 0.09124657667616108, 0.45437671166191945]",73.0381051305755,0.0356812227576393,0.0356812227576393,81.24999999999987,5.262970005413953,5.779179994586048,0.12290714027906982,5.521075,50.53763440860215,5.567176287530428,5.602857510288067,5.524357142857141,5.4583,2014-02-12,5.64
2220,kuvvetli al,"[0, 0, 0]","[0, 0.1848369641740257, 0.8151630358259743]","[0, 0.644444444444444, 0]","[0, 0.3178003301786807, 0.34109983491065965]","[0, 0.3178003301786807, 0.34109983491065965]",90.75815179129872,0.02678583404401457,0.02678583404401457,100.0,5.26141608693088,5.78873391306912,0.12555186336624732,5.5250749999999975,48.8888888888889,5.6064439756267666,5.633229809670781,5.525309523809524,5.4923,2014-02-13,5.74
2221,al,"[0, 0.4693877551020455, 0.2653061224489772]","[0, 0.8872688593197959, 0.11273114068020405]","[0, 0.4636363636363643, 0.3409090909090892]","[0, 0, 0.5496867438647483]","[0, 0, 0.5496867438647483]",55.6365570340102,0.043165713935957584,0.043165713935957584,63.26530612244886,5.2646203987297895,5.795529601270211,0.1264069529858144,5.530075,53.40909090909089,5.6784594789652765,5.721625192901232,5.530547619047619,5.5383,2014-02-14,5.56
2222,kuvvetli sat,"[0, 0, 0.7138775510204082]","[0, 0.4603821627424537, 0.5396178372575463]","[0, 0.06666666666666629, 1]","[0.48085168784395477, 0.03829662431209042, 0]","[0.48085168784395477, 0.03829662431209042, 0]",76.98089186287731,-0.028228817044396063,-0.028228817044396063,85.6938775510204,5.272383016006144,5.788766983993857,0.12294856380659865,5.530575,63.33333333333334,5.614584269719293,5.586355452674897,5.540071428571428,5.6043,2014-02-18,5.6699
2223,al,"[0, 0.5510204081632682, 0.2244897959183659]","[0, 0.9037712015974511, 0.09622879840254896]","[0, 0.4490566037735863, 0.37735849056603427]","[0, 0.5907248941098185, 0.20463755294509073]","[0, 0.5907248941098185, 0.20463755294509073]",54.81143992012745,0.0109643924205578,0.0109643924205578,61.224489795918295,5.271752855221417,5.7793971447785815,0.12086768798980145,5.525575,53.77358490566034,5.64441137918438,5.6553757716049375,5.531976190476191,5.630000000000001,2014-02-19,5.55
2224,kuvvetli al,"[0, 0, 0]","[0, 0.12417929097120094, 0.875820709028799]","[0, 0.10472520414717025, 1]","[0.452115988839654, 0.09576802232069204, 0]","[0.452115988839654, 0.09576802232069204, 0]",93.79103545143995,-0.026541862812266004,-0.026541862812266004,100.0,5.277524105647436,5.770615894352562,0.11740280683455386,5.52407,62.381869896320744,5.593503282565352,5.566961419753086,5.532447619047619,5.643980000000001,2014-02-20,5.74
2225,kuvvetli al,"[0, 0, 0]","[0, 0, 0]","[0, 0.42755647525435536, 0.43110881186411165]","[0, 0, 0.7103304678470332]","[0, 0, 0.7103304678470332]",129.16185415764454,0.038059202163363885,0.038059202163363885,100.0,5.253203311757862,5.784936688242137,0.12660318487720845,5.51907,54.311088118641116,5.6724966105938375,5.710555812757201,5.525304761904762,5.63198,2014-02-21,5.94
2226,kuvvetli al,"[0, 0, 0.8840579710144928]","[0, 0, 0.7549963577550991]","[0, 0.15217196596506993, 1]","[0, 0, 0]","[0, 0, 0]",107.14476048323752,0.08440552722939554,0.08440552722939554,94.20289855072464,5.199829633217346,5.853310366782655,0.1555906508488828,5.5265699999999995,61.19570085087325,5.816738634293237,5.901144161522634,5.529590476190476,5.65198,2014-02-24,5.9
2227,kuvvetli sat,"[0, 0, 0.8837681159420273]","[0, 0.026012218451572835, 0.9739877815484271]","[0, 0, 1]","[0, 0.10052396779975781, 0.4497380161001211]","[0, 0.10052396779975781, 0.4497380161001211]",98.69938907742136,0.0379603743640331,0.0379603743640331,94.18840579710137,5.174683461093802,5.909456538906195,0.1749459709077123,5.542069999999999,75.55934212475918,5.861634468742963,5.899594843106996,5.546257142857144,5.69198,2014-02-25,5.8999
2228,kuvvetli al,"[0, 0, 0]","[0, 0, 0.5594130725737695]","[0, 0, 1]","[0, 0.5978066967305761, 0.20109665163471194]","[0, 0.5978066967305761, 0.20109665163471194]",112.84833172136845,0.016973668905293948,0.016973668905293948,100.0,5.1587515246701745,5.957388475329826,0.1901516549189648,5.55807,69.16986164360722,5.882267843440385,5.899241512345679,5.559114285714285,5.7599800000000005,2014-02-26,6.06
2229,kuvvetli al,"[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0.6457909984594701]","[0, 0, 0.6457909984594701]",129.2946078630124,0.05450832970496933,0.05450832970496933,100.0,5.122841738635749,6.033288261364253,0.2167729816020243,5.5780650000000005,70.93768698179325,5.978103810212726,6.032612139917696,5.574347619047619,5.80598,2014-02-27,6.3
2230,kuvvetli al,"[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]",158.10863322751493,0.1031449309513608,0.1031449309513608,100.0,5.059960219981873,6.154169780018128,0.26052608572291797,5.607065,74.43609022556385,6.151675285098021,6.2548202160493815,5.601014285714286,5.9079799999999985,2014-02-28,6.79
2231,kuvvetli al,"[0, 0, 0.5142857142857147]","[0, 0, 0.9894620243625857]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]",100.612347361275,0.20429681095761687,0.20429681095761687,75.71428571428574,4.897372677050653,6.40675732294935,0.35937729664254703,5.652065000000001,78.04326767839841,6.495869984309873,6.7001667952674895,5.640061904761906,6.0199799999999986,2014-03-03,6.416
2232,kuvvetli sat,"[0, 0, 0.8181818181818185]","[0, 0, 0.8693142452446637]","[0, 0, 1]","[0, 0.902827565338962, 0.048586217330519]","[0, 0.902827565338962, 0.048586217330519]",107.5939705911388,0.009926009257118729,0.009926009257118729,90.90909090909092,4.910877102512664,6.527252897487338,0.3848513797558741,5.7190650000000005,81.81818181818176,6.45280283590749,6.462728845164609,5.7062523809523835,6.18998,2014-03-04,6.65
2233,kuvvetli sat,"[0, 0, 0.857142857142857]","[0, 0, 0.9534548824882566]","[0, 0, 1]","[0, 0.4222012194330935, 0.28889939028345324]","[0, 0.4222012194330935, 0.28889939028345324]",102.70467316202148,0.05902122412250942,0.05902122412250942,92.85714285714285,4.902538506848276,6.633191493151728,0.4120602348341551,5.7678650000000005,68.03939122649953,6.559134640075022,6.618155864197531,5.752252380952381,6.29318,2014-03-05,6.68
2234,kuvvetli sat,"[0, 0, 0.8701298701298703]","[0, 0.08048347993572805, 0.919516520064272]","[0, 0, 1]","[0, 0.5620482611249412, 0.2189758694375294]","[0, 0.5620482611249412, 0.2189758694375294]",95.9758260032136,0.04473607180275874,0.04473607180275874,93.50649350649351,4.9111442925346935,6.764585707465308,0.44129557498347977,5.837865000000001,70.71369975389663,6.624307138073784,6.669043209876543,5.809871428571429,6.4432,2014-03-06,6.69
2235,kuvvetli sat,"[0, 0, 0.8311688311688311]","[0, 0.21135508567037703, 0.7886449143296229]","[0, 0, 1]","[0, 0.7444670085442289, 0.1277664957278856]","[0, 0.7444670085442289, 0.1277664957278856]",89.43224571648115,0.026102287624437004,0.026102287624437004,91.55844155844156,4.936015508057049,6.863714491942952,0.4589759485442623,5.899865000000001,69.84797297297294,6.6597297597006655,6.6858320473251025,5.877966666666668,6.5672,2014-03-07,6.66
2236,kuvvetli sat,"[0, 0, 0.5974025974025983]","[0, 0.47105476793019135, 0.5289452320698086]","[0, 0, 1]","[0, 0.9637566796012484, 0.018121660199375795]","[0, 0.9637566796012484, 0.018121660199375795]",76.44726160349043,0.0037021973879900467,0.0037021973879900467,79.87012987012992,4.988083447001935,6.939646552998066,0.4646578823800311,5.963865,75.705186533212,6.65987547750913,6.66357767489712,5.937490476190478,6.6452,2014-03-10,6.48
2237,kuvvetli sat,"[0, 0, 0.8311688311688311]","[0, 0.3339455134338218, 0.6660544865661783]","[0, 0, 1]","[0.9023817269520528, 0, 0]","[0.9023817269520528, 0, 0]",83.30272432830891,-0.052975105044452235,-0.052975105044452235,91.55844155844156,5.075038925662322,6.977691074337678,0.4530124163512752,6.026365,73.37236202256737,6.56288379846009,6.509908693415638,5.997014285714285,6.619200000000001,2014-03-11,6.66
2238,sat,"[0, 0, 0.5194805194805195]","[0, 0.6437175582274196, 0.3562824417725804]","[0, 0, 1]","[0, 0.8137832741431767, 0.09310836292841161]","[0, 0.8137832741431767, 0.09310836292841161]",67.81412208862902,0.019021741619758892,0.019021741619758892,75.97402597402598,5.1210947560177,7.036485243982298,0.4560453542772854,6.0787900000000015,71.34790193737949,6.6152503777218055,6.634272119341563,6.0479666666666665,6.6320000000000014,2014-03-12,6.42
2239,sat,"[0, 0.1948051948051949, 0.40259740259740256]","[0, 0.7869635242656243, 0.21303647573437573]","[0, 0, 1]","[0.9363998627424093, 0, 0]","[0.9363998627424093, 0, 0]",60.651823786718786,-0.05497216932787642,-0.05497216932787642,70.12987012987013,5.201385949159722,7.0621940508402785,0.4430495480191804,6.1317900000000005,71.2157550041509,6.509968311303184,6.4549961419753075,6.106466666666668,6.6339999999999995,2014-03-13,6.33
2240,al,"[0, 0.8961038961038972, 0.05194805194805142]","[0.12553333068472056, 0.8744666693152794, 0]","[0, 0.16525677022008864, 1]","[1.0, 0, 0]","[1.0, 0, 0]",43.72333346576397,-0.06281083407543253,-0.06281083407543253,52.59740259740257,5.277786529188576,7.066793470811424,0.4259540337197258,6.17229,60.868580744497784,6.412926574816173,6.3501157407407405,6.145514285714286,6.5820000000000025,2014-03-14,6.06
2241,al,"[0, 0.7662337662337657, 0.11688311688311714]","[0.11151282558888155, 0.8884871744111185, 0]","[0, 0.21916570720042586, 0.9520857319989353]","[1.0, 0, 0]","[1.0, 0, 0]",44.42435872055592,-0.114984140683271,-0.114984140683271,55.84415584415586,5.3388180919359085,7.074761908064092,0.4133199562209964,6.20679,59.520857319989354,6.222623029572159,6.107638888888888,6.1798,6.51,2014-03-17,6.11
2242,al,"[0, 0.37662337662337736, 0.31168831168831135]","[0, 0.9538770259369072, 0.04612297406309281]","[0, 0.4733436177366403, 0.3166409556583993]","[0.4607843137254742, 0.07843137254905161, 0]","[0.4607843137254742, 0.07843137254905161, 0]",52.30614870315464,-0.0529828883540544,-0.0529828883540544,65.58441558441557,5.4160336978348695,7.029546302165133,0.384169667697682,6.22279,53.16640955658399,6.161894925391092,6.108912037037038,6.1998,6.39,2014-03-18,6.26
2243,al,"[0, 0.7922077922077926, 0.10389610389610368]","[0.19929991033752373, 0.8007000896624763, 0]","[0, 0.5586435070306027, 0.10339123242349331]","[0, 0.8109591857283841, 0.09452040713580795]","[0, 0.8109591857283841, 0.09452040713580795]",40.035004483123814,0.019310217748261138,0.019310217748261138,55.194805194805184,5.496200348150797,7.004379651849204,0.3590903104043826,6.2502900000000015,51.03391232423493,6.2147947205233445,6.234104938271606,6.217419047619049,6.316,2014-03-19,6.1
2244,al,"[0, 0.9220779220779224, 0.03896103896103881]","[0.3429301495182727, 0.6570698504817273, 0]","[0, 0.6343642611683845, 0]","[0.2716270060208997, 0.4567459879582007, 0]","[0.2716270060208997, 0.4567459879582007, 0]",32.85349252408636,-0.031232797873682824,-0.031232797873682824,51.94805194805194,5.609702270262464,6.949887729737539,0.3190917760654944,6.279795000000001,49.14089347079039,6.152895606515656,6.1216628086419735,6.250752380952383,6.2360000000000015,2014-03-20,6.05
2245,al,"[0, 0.1428571428571439, 0.42857142857142805]","[0, 0.9314922259810445, 0.06850777401895541]","[0, 0.7093093093093091, 0]","[0.31436726073806687, 0.3712654785238662, 0]","[0.31436726073806687, 0.3712654785238662, 0]",53.42538870094777,-0.03614724933492042,-0.03614724933492042,71.4285714285714,5.683935087763139,6.930654912236863,0.2968380534461245,6.307295000000001,32.73273273273273,6.097412681433685,6.0612654320987644,6.271233333333335,6.1720000000000015,2014-03-21,6.35
2246,al,"[0, 0, 0.5714285714285714]","[0, 0.7689993296086128, 0.23100067039138722]","[0, 0.962724014336917, 0]","[0, 0.33805709658921, 0.330971451705395]","[0, 0.33805709658921, 0.330971451705395]",61.55003351956936,0.0676164121014251,0.0676164121014251,78.57142857142857,5.728835684784457,6.9167543152155435,0.2828377691502583,6.3227949999999975,39.068100358422925,6.233611725758657,6.3012281378600825,6.2950428571428585,6.1160000000000005,2014-03-24,6.46
2247,al,"[0, 0.6521739130434793, 0.17391304347826037]","[0.22263307575460062, 0.7773669242453994, 0]","[0, 0.9448275862068971, 0]","[0, 0.24424276940393114, 0.3778786152980344]","[0, 0.24424276940393114, 0.3778786152980344]",38.86834621226997,0.07719939603446857,0.07719939603446857,58.69565217391302,5.789491394753567,6.897098605246433,0.2637160024983017,6.343295,41.37931034482757,6.355683834418205,6.432883230452673,6.324090476190476,6.174,2014-03-25,6.22
2248,al,"[0, 0.24637681159420255, 0.3768115942028987]","[0.02218353351526261, 0.9778164664847374, 0]","[0, 0.8417582417582418, 0]","[0.2410011639820519, 0.5179976720358962, 0]","[0.2410011639820519, 0.5179976720358962, 0]",48.89082332423687,-0.027711311744144318,-0.027711311744144318,68.84057971014494,5.862133554091139,6.880456445908859,0.2424578313851712,6.371294999999999,43.956043956043956,6.282520982526036,6.254809670781892,6.348852380952381,6.244,2014-03-26,6.36
2249,al,"[0, 0, 0.5217391304347825]","[0, 0.8495534993055232, 0.15044650069447685]","[0, 0.9414634146341456, 0]","[0, 0.8285271960347366, 0.08573640198263172]","[0, 0.8285271960347366, 0.08573640198263172]",57.52232503472384,0.01751567350803196,0.01751567350803196,76.08695652173913,5.904071745009611,6.8705282549903846,0.23010869285256444,6.387299999999999,38.53658536585364,6.324298884105136,6.3418145576131675,6.364090476190476,6.2360000000000015,2014-03-27,6.46
2250,al,"[0, 0.030548398969449976, 0.48472580051527503]","[0, 0.9216546560478749, 0.07834534395212515]","[0, 0.8777777777777771, 0]","[0, 0.587041920550018, 0.20647903972499101]","[0, 0.587041920550018, 0.20647903972499101]",53.91726719760626,0.04218300934540675,0.04218300934540675,74.23629002576375,5.921097185662514,6.883502814337485,0.2291441973035643,6.4022999999999985,43.05555555555557,6.397471054440602,6.4396540637860085,6.386,6.2879999999999985,2014-03-28,6.44
2251,sat,"[0, 0, 0.7580645161290317]","[0, 0.48231634681592367, 0.5176836531840763]","[0, 0.6192307692307696, 0]","[0, 0.8153813348296566, 0.09230933258517171]","[0, 0.8153813348296566, 0.09230933258517171]",75.88418265920382,0.018858502268776608,0.018858502268776608,87.90322580645159,5.966592730923214,6.854007269076785,0.2112891757508504,6.4102999999999986,49.51923076923076,6.420403329006944,6.43926183127572,6.405047619047619,6.369999999999999,2014-03-31,6.64
2252,al,"[0, 0, 0.7741935483870975]","[0, 0.43921385918569456, 0.5607861408143054]","[0, 0.8291666666666663, 0]","[0, 0.3437191850987373, 0.3281404074506314]","[0, 0.3437191850987373, 0.3281404074506314]",78.03930704071527,0.06703803878849701,0.06703803878849701,88.70967741935488,5.9341581376556025,6.851441862344397,0.21840088683066536,6.3927999999999985,44.27083333333334,6.538813298660062,6.605851337448559,6.411714285714285,6.388,2014-04-01,6.65
2253,kuvvetli sat,"[0, 0, 0.8064516129032256]","[0, 0.42002677505208025, 0.5799732249479197]","[0, 0.36595744680851083, 0.5851063829787229]","[0, 0.5770037103196625, 0.2114981448401688]","[0, 0.5770037103196625, 0.2114981448401688]",78.99866124739599,0.043208396514298635,0.043208396514298635,90.32258064516128,5.945358137655601,6.862641862344398,0.21840088683066536,6.403999999999999,55.85106382978723,6.598766912127676,6.641975308641975,6.404571428571428,6.424,2014-04-02,6.67
2254,sat,"[0, 0, 0.5322580645161292]","[0, 0.7900570515766563, 0.20994294842334368]","[0, 0.2444444444444443, 0.8888888888888893]","[0, 0.7310704643318917, 0.1344647678340542]","[0, 0.7310704643318917, 0.1344647678340542]",60.497147421167185,0.02747072325465361,0.02747072325465361,76.61290322580646,5.946732915199326,6.861267084800673,0.21774623085746314,6.403999999999999,58.88888888888889,6.637176910490202,6.664647633744855,6.4157142857142855,6.5100000000000025,2014-04-03,6.5
2255,al,"[0, 0.6129032258064515, 0.19354838709677424]","[0.25917299463916293, 0.740827005360837, 0]","[0, 0, 1]","[0.31708718392936963, 0.3658256321412607, 0]","[0.31708718392936963, 0.3658256321412607, 0]",37.04135026804185,-0.03645999736579687,-0.03645999736579687,59.67741935483871,5.965568570616235,6.841431429383763,0.20853877589702985,6.4034999999999975,69.67741935483872,6.563208968559213,6.526748971193415,6.416666666666665,6.572,2014-04-04,6.29
